onset	duration	nwb_table	choice	feedback_type	reward_volume	contrast_left	contrast_right	probability_left	feedback_time	response_time	stim_off_time	stim_on_time	go_cue_time	first_movement_time	peak_amplitude
16.02256191000006	0.772000000000002	WheelMovementIntervals													-0.45204285386377
17.028561910000064	0.12899999999999778	WheelMovementIntervals													0.010369585672443449
28.370561910000074	0.0779999999999994	WheelMovementIntervals													0.02492084506212633
30.058561910000076	0.9519999999999982	WheelMovementIntervals													-0.08551101423157031
31.468561910000076	3.111000000000004	WheelMovementIntervals													0.5186794361707013
34.81156191000008	0.5349999999999966	WheelMovementIntervals													-0.21316481640602394
46.41056191000009	0.6820000000000022	WheelMovementIntervals													0.15249033405968376
49.719561910000095	0.0730000000000004	WheelMovementIntervals													-0.016324443354257645
56.2575619100001	2.112000000000002	WheelMovementIntervals													0.27790143835818926
65.7445619100001	3.253	WheelMovementIntervals													0.5002491805182208
71.28456191000011	0.47100000000000364	WheelMovementIntervals													-0.14871317708181284
72.5635619100001	0.10900000000000887	WheelMovementIntervals													0.007059736521092708
73.09756191000011	0.3859999999999957	WheelMovementIntervals													-0.18204008957351764
74.12156191000011	2.942999999999998	WheelMovementIntervals													-0.4795932295598509
79.19556191000011	8.519000000000005	WheelMovementIntervals													0.5482628436478032
88.38556191000012	1.2039999999999935	WheelMovementIntervals													-0.14450715800457936
89.76656191000012	0.2009999999999934	WheelMovementIntervals													0.015337298388674703
92.35856191000012	1.3060000000000116	WheelMovementIntervals													-0.3212721092310057
94.93056191000012	0.3359999999999985	WheelMovementIntervals													0.04673109167476974
95.47956191000013	0.23999999999999488	WheelMovementIntervals													0.02274487914201917
99.36256191000012	4.7830000000000155	WheelMovementIntervals													-0.3886227870551497
104.83456191000013	0.519999999999996	WheelMovementIntervals													0.09253278238323648
105.58256191000014	0.0870000000000033	WheelMovementIntervals													0.00468428201230342
109.29656191000014	0.7079999999999984	WheelMovementIntervals													0.09098929042096482
113.18556191000015	2.019999999999996	WheelMovementIntervals													-0.7039198488725692
116.21856191000015	1.0219999999999914	WheelMovementIntervals													0.8308740078294918
119.84156191000015	1.6839999999999975	WheelMovementIntervals													0.3528695972517055
121.97156191000015	0.17100000000000648	WheelMovementIntervals													0.02422701494455559
127.66256191000015	3.6410000000000053	WheelMovementIntervals													2.1930672691230053
134.03756191000016	0.8950000000000102	WheelMovementIntervals													-0.2297178329361511
136.66056191000015	0.08299999999999841	WheelMovementIntervals													0.008779679889597602
139.90856191000017	1.4599999999999795	WheelMovementIntervals													-0.27208121396064033
142.24756191000017	1.6970000000000027	WheelMovementIntervals													2.279322976972865
144.95356191000016	9.876000000000005	WheelMovementIntervals													3.5346808429211354
148.95296988014894	9.554569180436033	trials	-1.0	-1.0	0.0	0.25		0.5	155.95836927015597	155.957418396984	158.007431010158	155.72375940015573	155.63370174015563	155.7685619100002	
154.96156191000017	0.1490000000000009	WheelMovementIntervals													0.006607077479822365
155.7685619100002	4.159999999999997	WheelMovementIntervals													3.4058566866900755
159.23944113015924	4.748453634571632	trials	-1.0	-1.0	0.0	0.125		0.5	161.42835555016143	161.42746446188627	163.48778292016348	160.57137459016056	160.57237449016057	160.6085619100002	
160.6085619100002	1.9979999999999905	WheelMovementIntervals													0.620424298707384
163.7475619100002	1.7789999999999964	WheelMovementIntervals													1.2738902932699308
164.66079894016465	4.777125078162811	trials	-1.0	-1.0	0.0	0.125		0.5	166.88437656016688	166.88350921273621	168.93790452016893	166.3072009501663	166.3083675001663	166.41056191000018	
166.41056191000018	4.445000000000022	WheelMovementIntervals													1.2259173150242102
170.0766239701701	5.844345887927432	trials	-1.0	1.0	1.5		0.25	0.5	174.36076218017436	174.36065614097186	175.42092282017543	174.07369089017408	174.0746907901741	174.14256191000018	
171.66056191000018	1.4699999999999989	WheelMovementIntervals													1.2939024929530216
