onset	duration	nwb_table	choice	feedback_type	reward_volume	contrast_left	contrast_right	probability_left	feedback_time	response_time	stim_off_time	stim_on_time	go_cue_time	first_movement_time	peak_amplitude
4.914020330000135	1.1800000000000015	WheelMovementIntervals													0.16205546230297085
12.06302033000014	1.0300000000000011	WheelMovementIntervals													0.20241248860161956
33.54902033000016	0.9329999999999998	WheelMovementIntervals													0.4451591608518801
34.859020330000156	0.45600000000000307	WheelMovementIntervals													-0.14138440079179423
35.86502033000016	0.12399999999999523	WheelMovementIntervals													0.014901526386587469
39.876678600039874	15.47390832688189	trials	-1.0	1.0	1.5		0.25	0.5	53.792586870053796	53.79247332124644	54.85058106005485	52.351864290052355	52.35283086005235	53.27002033000018	
53.27002033000018	0.9179999999999993	WheelMovementIntervals													0.4394922850003234
54.387020330000176	1.8200000000000003	WheelMovementIntervals													-0.6786975077443753
55.79178693005579	39.92480689255012	trials	-1.0	-1.0	0.0	1.0		0.5	93.14638443009315	93.1453721870364	95.21651073009522	56.75165760005675	56.75275749005675	92.89702033000022	
92.89702033000022	0.2950000000000017	WheelMovementIntervals													0.31951968177978185
93.54202033000021	0.7200000000000131	WheelMovementIntervals													0.23142592004760304
96.35659671009635	12.943323467431128	trials	-1.0	-1.0	0.0	1.0		0.5	106.72126014010672	106.7202939688635	108.7998189301088	97.05106059009705	97.05199383009705	106.18902033000023	
106.18902033000023	0.9380000000000024	WheelMovementIntervals													0.5145278467826362
109.76372253010976	2.73722196810823	trials	-1.0	1.0	1.5		1.0	0.5	110.92074015011092	110.92063054712727	112.000832130112	110.43408882011043	110.43518871011044	110.70902033000023	
110.70902033000023	0.4930000000000092	WheelMovementIntervals													0.4932103070201622
112.88074413011289	3.285633731508028	trials	-1.0	1.0	1.5		0.0625	0.5	114.58714014011458	114.58706008979279	115.66629888011566	114.16631556011417	114.16714881011417	114.36302033000024	
113.22502033000023	0.1280000000000001	WheelMovementIntervals													0.00564829032512848
114.36302033000024	1.4110000000000014	WheelMovementIntervals													0.3250006544279893
116.53827834011653	3.4780137485577853	trials	-1.0	-1.0	0.0	1.0		0.5	117.45245358011745	117.45148116230587	119.51618052011952	117.08385711011708	117.08479035011709	117.15802033000024	
117.15802033000024	2.403000000000006	WheelMovementIntervals													2.3229526210186435
120.40829130012041	10.041383507110979	trials	-1.0	-1.0	0.0	0.125		0.5	127.87367802012787	127.87285263423735	129.94963707012994	120.9006753901209	120.90174195012091	127.44002033000025	
127.44002033000025	1.1929999999999978	WheelMovementIntervals													0.32219123970501906
130.8893764201309	5.343454241909541	trials	-1.0	1.0	1.5		0.25	0.5	134.67489783013468	134.67481342960994	135.73275870013575	133.96736859013396	133.96826850013397	134.18702033000025	
130.93202033000023	2.4650000000000034	WheelMovementIntervals													1.5120267436289554
134.18702033000025	2.5060000000000002	WheelMovementIntervals													1.2967429225994875
136.65813282013667	3.541307690977675	trials	-1.0	-1.0	0.0	0.0625		0.5	137.63056890013763	137.6297343815268	139.6994286601397	137.3840268901374	137.3848934701374	137.46602033000025	
137.46602033000025	1.1620000000000061	WheelMovementIntervals													1.530925484500898
139.20002033000026	3.179000000000002	WheelMovementIntervals													4.9411613285448315
140.5846401301406	7.91566525917176	trials	-1.0	-1.0	0.0	1.0		0.5	145.93080546014593	145.92998284821192	148.000231830148	142.86687855014287	142.86784512014287	145.81102033000025	
145.81102033000025	2.676000000000016	WheelMovementIntervals													1.5730164632822294
148.92710580014892	5.072048678155227	trials	-1.0	1.0	1.5		0.0	0.5	152.43825465015243	152.43813811224243	153.4990485601535	149.43252192014944	149.43342183014943	152.26502033000025	
152.26502033000025	5.044000000000011	WheelMovementIntervals													3.855761331889738
154.42095636015443	16.479233121278128	trials	-1.0	-1.0	0.0	0.25		0.5	168.33523146016833	168.33446706659893	170.4000916201704	158.18374671015818	158.1846799501582	168.07002033000026	
168.07002033000026	1.203000000000003	WheelMovementIntervals													0.6251214251119563
171.4014914701714	2.398616568233223	trials	-1.0	1.0	1.5		1.0	0.5	172.23330828017222	172.2331961748681	173.3000682601733	171.8823100501719	171.88317663017187	172.04902033000027	
172.04902033000027	0.8710000000000093	WheelMovementIntervals													0.5515391864549137
174.24060753017423	4.526240946039053	trials	-1.0	-1.0	0.0	0.0625		0.5	176.2018113901762	176.2010239654545	178.26680487017828	174.86551170017486	174.86647827017487	175.94902033000028	
175.94902033000028	0.7599999999999909	WheelMovementIntervals													1.1503246904055118
179.16094878017915	2.5546070633498346	trials	-1.0	1.0	1.5		0.0	0.5	180.15434943018016	180.1542507489498	181.2154766401812	179.76562164017977	179.76645489017977	179.97602033000027	
179.97602033000027	2.6340000000000146	WheelMovementIntervals													2.2111534559752783
182.10235461018212	10.614291045361568	trials	-1.0	1.0	1.5		0.0625	0.5	191.14774998019115	191.1476304927689	192.21654309019223	183.1834131601832	183.18441306018318	190.90802033000028	
190.90802033000028	1.0190000000000055	WheelMovementIntervals													0.34744181214896486
192.2680203300003	0.742999999999995	WheelMovementIntervals													0.1816793041166811
193.17254748019317	2.5761335830651717	trials	-1.0	1.0	1.5		1.0	0.5	194.1884458801942	194.18835993392273	195.24863985019525	193.91537319019392	193.9162731001939	194.0480203300003	
194.0480203300003	1.6689999999999827	WheelMovementIntervals													-0.6014540687016989
