onset	duration	nwb_table	choice	feedback_type	reward_volume	contrast_left	contrast_right	probability_left	feedback_time	response_time	stim_off_time	stim_on_time	go_cue_time	first_movement_time	peak_amplitude
37.68149814003768	3.1736129549117678	trials	1.0	1.0	1.5	1.0		0.5	39.28870407003929	39.288603687563395	40.573875540040575	38.35509744003836	38.35596402003836	39.026230920039005	
39.026230920039005	3.0779999999928265	WheelMovementIntervals													-0.3382784009440568
41.21581134004121	5.237807143123561	trials	1.0	1.0	1.5	0.125		0.5	44.87911164004488	44.879015636403416	45.953537520045955	44.45505405004445	44.385960960044386	44.59823092002602	
42.2472309200315	1.360999999996828	WheelMovementIntervals													-0.5365843064146154
44.59823092002602	2.5479999999940617	WheelMovementIntervals													-0.7277998981564114
46.82611692004683	2.7786165612012184	trials	1.0	1.0	1.5	1.0		0.5	48.027530100048025	48.0274227830906	49.10465571004911	47.77148904004777	47.772555600047774	47.89623092001833	
47.89623092001833	0.8309999999980633	WheelMovementIntervals													-0.7197143898347328
49.0262309200157	1.0289999999976018	WheelMovementIntervals													0.3485325526228382
50.00403243005	3.5328110593993713	trials	1.0	-1.0	0.0		0.0625	0.5	50.96183664005096	50.960934883892385	53.03672913005304	50.66983251005067	50.67086574005067	50.79923092001157	
50.79923092001157	0.8089999999981146	WheelMovementIntervals													-0.4506652259437318
53.90364243005391	2.5662082660855816	trials	1.0	1.0	1.5	0.25		0.5	54.9017426100549	54.90164486694446	55.96976913005597	54.65473398005466	54.655800540054656	54.80223092000224	
54.80223092000224	0.4189999999990235	WheelMovementIntervals													-0.7439514948411763
55.36723092000092	0.20799999999951524	WheelMovementIntervals													-0.016436631891607156
55.90823091999966	0.8729999999979654	WheelMovementIntervals													-0.32442299409866715
56.83184958005683	4.055992707190811	trials	-1.0	-1.0	0.0	0.0		0.5	58.305102240058304	58.3042462066038	60.38776062006039	57.554677290057555	57.555777180057554	57.6072309199957	
57.6072309199957	1.3529999999968467	WheelMovementIntervals													1.29109982592216
61.1682309199874	0.5779999999986529	WheelMovementIntervals													0.6437386124776789
61.266339420061264	2.8867106092218577	trials	1.0	1.0	1.5	0.125		0.5	62.58344103006258	62.58334289161521	63.65300073006365	62.33653239006234	62.33739897006234	62.47023091998437	
62.47023091998437	0.6439999999984991	WheelMovementIntervals													-0.5938883457161022
63.569230919981806	0.804999999998131	WheelMovementIntervals													-0.06720963528804513
64.51374798006451	2.522713758975698	trials	-1.0	1.0	1.5		0.125	0.5	65.47165218006548	65.47155206494763	66.53641236006654	65.07102558006507	65.07205881006507	65.19823091997802	
65.19823091997802	1.7949999999958095	WheelMovementIntervals													0.8954511090787152
67.13923091997349	0.5309999999987696	WheelMovementIntervals													0.103353298419817
67.39076025006739	3.0136998416229375	trials	1.0	1.0	1.5	0.0625		0.5	68.83194945006883	68.83185873978678	69.9043755300699	68.6044388700686	68.6053387800686	68.70923091996983	
68.70923091996983	1.660999999996136	WheelMovementIntervals													-0.7736507151605837
70.75905672007076	2.3453988413286453	trials	1.0	1.0	1.5	0.125		0.5	71.53167945007154	71.53155567970599	72.60443883007261	71.28627066007128	71.28737055007129	71.41423091996353	
71.41423091996353	0.5219999999987692	WheelMovementIntervals													-0.6615154905271325
72.44923091996111	0.5549999999986994	WheelMovementIntervals													-0.08664839494622778
73.19823091995937	0.10199999999974807	WheelMovementIntervals													0.007378563987908704
73.46185308007347	2.3411213276288976	trials	1.0	1.0	1.5	1.0		0.5	74.23517574007424	74.23505946344449	75.3029356200753	73.96960230007397	73.97063553007398	74.09423091995728	
74.09423091995728	0.4079999999990491	WheelMovementIntervals													-0.4528967321775923
75.51023091995398	0.398999999999063	WheelMovementIntervals													-0.04331775869156118
76.22357688007622	3.6307007369422166	trials	-1.0	-1.0	0.0	0.0625		0.5	77.28293760007729	77.28197680339122	79.35416379007935	76.87094547007688	76.87194537007687	76.99523091995052	
76.99523091995052	0.5659999999986809	WheelMovementIntervals													0.7270252391326668
80.22607659008023	2.593305586115008	trials	-1.0	1.0	1.5		0.25	0.5	81.24227496008125	81.24217838699907	82.31933391008232	80.96923560008096	80.97023550008097	80.8212309199416	
80.8212309199416	0.7039999999983593	WheelMovementIntervals													0.8328683977801261
82.52523091993763	0.6849999999984107	WheelMovementIntervals													-0.4292726302090346
83.18348082008319	2.4692167197277683	trials	-1.0	1.0	1.5		0.25	0.5	84.06979218008406	84.0696857441104	85.15261722008515	83.75419041008375	83.75519031008376	83.88123091993447	
83.88123091993447	0.6939999999983826	WheelMovementIntervals													1.4200865860743397
85.08823091993165	0.22399999999947795	WheelMovementIntervals													0.014312677625319514
86.02529661008603	2.7773887982157817	trials	-1.0	1.0	1.5		0.25	0.5	87.22401006008722	87.22389091279823	88.3026355200883	86.78708709008679	86.78815365008678	87.00023091992719	
87.00023091992719	0.5319999999987601	WheelMovementIntervals													0.715012259882174
88.51023091992369	0.8389999999980375	WheelMovementIntervals													-0.8824152451871433
89.17468164008918	3.894539265121537	trials	-1.0	-1.0	0.0	0.0		0.5	90.50948148009051	90.50869440466656	92.56914216009257	90.00409869009	90.00513192009001	90.15223091991984	
90.15223091991984	0.5909999999986297	WheelMovementIntervals													0.46762611700625833
93.43342239009344	2.452487403952162	trials	1.0	1.0	1.5	0.25		0.5	94.32020037009433	94.32011711290482	95.3858271300954	94.02033036009402	94.02143025009403	94.18623091991046	
94.18623091991046	0.26699999999937063	WheelMovementIntervals													-0.49175203039235627
95.1532309199082	0.6159999999985644	WheelMovementIntervals													0.4723506379097513
96.25790658009626	3.5944060912244282	trials	-1.0	-1.0	0.0	0.0		0.5	97.28107092009728	97.27990802768971	99.35229711009936	96.73732530009674	96.73839186009674	96.99323091990391	
96.99323091990391	0.7969999999981496	WheelMovementIntervals													0.7077943075858935
100.21151118010022	2.59090193092338	trials	-1.0	1.0	1.5		1.0	0.5	101.23600872010124	101.23591115278846	102.3024020701023	100.72049361010072	100.72136019010073	100.81423091989501	
100.81423091989501	2.071999999995171	WheelMovementIntervals													3.443214972531622
103.21201110010321	2.9236344716719174	trials	-1.0	1.0	1.5		0.125	0.5	104.55504345010456	104.5549260153373	105.63556872010564	103.88714358010388	103.88801016010389	104.06023091988743	
104.06023091988743	2.4209999999943648	WheelMovementIntervals													-1.236736928718753
106.51184775010651	4.123688130783123	trials	-1.0	-1.0	0.0	0.125		0.5	108.05862639010806	108.05784255045599	110.13545202011014	107.22047688010723	107.22131013010723	107.37823091987971	
107.37823091987971	1.0899999999974455	WheelMovementIntervals													1.0873986319016584
110.99553267011099	2.6067046687710445	trials	-1.0	1.0	1.5		1.0	0.5	112.02722949011203	112.02713372627476	113.1021553201131	111.63703518011164	111.63793509011164	111.80423091986938	
111.80423091986938	1.8029999999957909	WheelMovementIntervals													1.8183635968344785
113.96483571011396	3.603804336532974	trials	-1.0	-1.0	0.0	0.25		0.5	114.990233160115	114.98923637428597	117.06862530011708	114.50344851011451	114.50421510011451	114.67923091986268	
114.67923091986268	0.9979999999976883	WheelMovementIntervals													0.7575677065129103
117.92873928011792	2.7732192864051086	trials	1.0	1.0	1.5	0.25		0.5	119.12265321011913	119.1225471519997	120.2019119401202	118.61993682011862	118.62117003011862	118.78623091985312	
118.78623091985312	1.6769999999960703	WheelMovementIntervals													-0.49949286521856173
121.06495896012106	2.437119176779447	trials	1.0	1.0	1.5	1.0		0.5	121.92327312012192	121.92316500874443	123.002031900123	121.66999845012167	121.67083170012167	121.81223091984606	
121.81223091984606	0.27899999999934266	WheelMovementIntervals													-0.6087585909055564
122.93823091984345	0.6629999999984477	WheelMovementIntervals													0.4910997022132726
123.86717871012387	2.5195053733431507	trials	-1.0	1.0	1.5		0.25	0.5	124.81848357012483	124.81837998367872	125.88664341012588	124.43645511012444	124.43745501012444	124.64723091983944	
124.64723091983944	1.854999999995698	WheelMovementIntervals													1.9892430335491307
126.81738366012682	8.735822247906853	trials	-1.0	1.0	1.5		0.25	0.5	133.97010165013398	133.97000105724686	135.05309334013506	127.4018918701274	127.4031584101274	133.82223091981808	
133.82223091981808	1.3809999999967602	WheelMovementIntervals													1.5594143679803363
135.92820582013593	5.308201215610836	trials	-1.0	1.0	1.5		0.0625	0.5	139.66809846013967	139.6680052675084	140.73632496014073	136.43492181013644	136.43598837013644	139.39623091980508	
139.39623091980508	0.5259999999987883	WheelMovementIntervals													0.2878683676390139
140.8432309198017	0.10599999999976717	WheelMovementIntervals													-0.0981356341249704
141.61270398014162	2.638901058920055	trials	1.0	1.0	1.5	1.0		0.5	142.67689755014268	142.6768036006644	143.75155674014374	142.38482676014237	142.38592665014238	142.54223091979776	
142.54223091979776	1.429999999996653	WheelMovementIntervals													-0.7867896659817912
144.61310391014462	2.3063000303549757	trials	1.0	1.0	1.5	0.0625		0.5	145.34909697014535	145.34900360074798	146.41935660014641	145.08615660014507	145.08725649014508	145.23123091979147	
145.23123091979147	0.8279999999980703	WheelMovementIntervals													-0.8333615709236177
146.66723091978812	0.46699999999893294	WheelMovementIntervals													-0.1457111198400245
147.3008017801473	2.2675035066480973	trials	1.0	1.0	1.5	1.0		0.5	148.009530900148	148.00940225097858	149.06822502014907	147.78488670014778	147.7858866001478	147.91023091978525	
147.91023091978525	2.3819999999944343	WheelMovementIntervals													-1.4668190858434773
149.94960354014995	10.069523597990695	trials	-1.0	1.0	1.5		0.125	0.5	158.46835158015847	158.46822096564193	159.5190798301595	150.91947321015093	150.92050644015092	158.1862309197613	
158.1862309197613	0.5399999999987415	WheelMovementIntervals													0.49016546457635535
159.22623091975888	1.699999999996038	WheelMovementIntervals													-0.5967692657597645
160.4014249201604	4.300730645048674	trials	1.0	-1.0	0.0		0.0625	0.5	162.15041667016214	162.14943656280505	164.2021114801642	161.83454826016182	161.83544817016184	162.01623091975236	
162.01623091975236	1.8069999999957815	WheelMovementIntervals													-3.2109331803759487
165.0887561401651	2.4473122865641983	trials	-1.0	1.0	1.5		0.125	0.5	165.98016699016597	165.98005952230235	167.03596140016703	165.63450156016563	165.63536814016564	165.8202309197435	
165.8202309197435	0.332999999999231	WheelMovementIntervals													0.313648616473464
167.13023091974043	1.0249999999976183	WheelMovementIntervals													1.0612221257086283
167.96916807016797	2.648499638508696	trials	1.0	1.0	1.5	1.0		0.5	169.05935904016906	169.05926750979	170.11758654017012	168.81778320016883	168.81868311016882	168.9532309197362	
168.9532309197362	0.8409999999980187	WheelMovementIntervals													-1.0429697449401418
170.984366520171	18.19974110317662	trials	-1.0	1.0	1.5		1.0	0.5	187.62960183018762	187.6295022831898	188.6839963801887	171.53571138017153	171.53664462017153	187.42923091969314	
187.42923091969314	2.425999999994332	WheelMovementIntervals													1.4505125269036299
189.5829064801896	2.902506005078635	trials	1.0	1.0	1.5	1.0		0.5	190.9049076001909	190.90480875967663	191.98536621019198	190.63543455019064	190.63646778019063	190.79923091968527	
190.79923091968527	0.619999999998555	WheelMovementIntervals													-0.86082363676746
192.85941213019285	9.791017785743861	trials	-1.0	1.0	1.5		0.0625	0.5	201.0776235602011	201.07752537999318	202.15038294020215	193.41735633019343	193.41842289019343	200.88023091966178	
200.88023091966178	0.704999999998364	WheelMovementIntervals													0.8827347134903647
202.19323091965873	0.573999999998648	WheelMovementIntervals													-0.1932347819534801
202.934230919657	0.18799999999953343	WheelMovementIntervals													0.013219555156332774
203.03762754020303	4.279403506093956	trials	1.0	-1.0	0.0		0.125	0.5	204.76032192020477	204.75952774383967	206.81694957020682	203.81844945020381	203.81931603020382	204.13923091965418	
204.13923091965418	1.3259999999969239	WheelMovementIntervals													-0.7608318168957791
207.6883290902077	2.961801568112179	trials	-1.0	1.0	1.5		0.25	0.5	209.0877224702091	209.08762935861176	210.15011622021015	208.21824276020823	208.21927599020822	208.4242309196442	
208.4242309196442	0.11599999999972965	WheelMovementIntervals													-0.10531925783001483
208.89823091964308	2.1079999999951156	WheelMovementIntervals													2.2672322929813014
211.02492873021103	8.94342900446182	trials	-1.0	1.0	1.5		1.0	0.5	218.4112566902184	218.41115103272588	219.46835097021946	211.5018477002115	211.5029142602115	218.17723091962148	
218.17723091962148	0.6609999999984666	WheelMovementIntervals													0.6667821568600143
219.15523091961919	0.6039999999985923	WheelMovementIntervals													-0.27612163219101404
220.40735706022042	5.310729875554188	trials	-1.0	1.0	1.5		1.0	0.5	224.17038072022416	224.17027681145535	225.2180426102252	221.06682444022107	221.06782434022108	224.02323091960784	
224.02323091960784	1.8319999999957304	WheelMovementIntervals													2.0144162581817113
226.1075869802261	10.109018608784794	trials	-1.0	-1.0	0.0	0.25		0.5	233.65636536023365	233.655599381362	235.71655932023572	226.5997710902266	226.6007709902266	229.0202309195962	
229.0202309195962	0.6869999999983918	WheelMovementIntervals													0.1941401701823935
233.46523091958585	0.7799999999981821	WheelMovementIntervals													0.9566868548414948
236.6008042202366	2.4172905729450633	trials	1.0	1.0	1.5	0.125		0.5	237.45098586023747	237.45090020164918	238.51804581023853	237.1013208302371	237.1023207302371	237.30623091957688	
237.30623091957688	0.2059999999995341	WheelMovementIntervals													-0.36719774170211217
238.4642309195742	0.5249999999987836	WheelMovementIntervals													-0.10735344219072651
239.3994909902394	3.0502224346964795	trials	1.0	1.0	1.5	0.125		0.5	240.87211038024088	240.8720008551895	241.94963595024194	240.54984261024055	240.55097583024056	240.7422309195689	
239.78223091957113	0.162999999999613	WheelMovementIntervals													0.17327467552565246
240.7422309195689	0.16499999999959414	WheelMovementIntervals													-0.34837183315609543
241.971230919566	0.7349999999982799	WheelMovementIntervals													-0.14916772102901454
