participant_id	original_participant_id	species	sex	strain
sub-UCLA006	sub-UCLA006	Mus musculus	F	C57BL/6
sub-UCLA011	sub-UCLA011	Mus musculus	M	C57BL/6
sub-UCLA012	sub-UCLA012	Mus musculus	M	C57BL/6
sub-UCLA014	sub-UCLA014	Mus musculus	F	C57BL/6
sub-UCLA015	sub-UCLA015	Mus musculus	F	C57BL/6
sub-UCLA017	sub-UCLA017	Mus musculus	F	C57BL/6
sub-UCLA030	sub-UCLA030	Mus musculus	F	C57BL/6
sub-UCLA033	sub-UCLA033	Mus musculus	F	C57BL/6
sub-UCLA034	sub-UCLA034	Mus musculus	M	C57BL/6
sub-UCLA035	sub-UCLA035	Mus musculus	M	C57BL/6
sub-UCLA036	sub-UCLA036	Mus musculus	M	C57BL/6
sub-UCLA037	sub-UCLA037	Mus musculus	M	C57BL/6
sub-UCLA044	sub-UCLA044	Mus musculus	F	C57BL/6
sub-UCLA048	sub-UCLA048	Mus musculus	F	C57BL/6
sub-UCLA049	sub-UCLA049	Mus musculus	F	C57BL/6
sub-UCLA052	sub-UCLA052	Mus musculus	F	C57BL/6
sub-ZFM+01576	sub-ZFM-01576	Mus musculus	F	C57BL/6
sub-ZFM+01577	sub-ZFM-01577	Mus musculus	F	C57BL/6
sub-ZFM+01592	sub-ZFM-01592	Mus musculus	M	C57BL/6
sub-ZFM+01935	sub-ZFM-01935	Mus musculus	M	C57BL/6
sub-ZFM+01936	sub-ZFM-01936	Mus musculus	F	C57BL/6
sub-ZFM+01937	sub-ZFM-01937	Mus musculus	F	C57BL/6
sub-ZFM+02368	sub-ZFM-02368	Mus musculus	M	C57BL/6
sub-ZFM+02369	sub-ZFM-02369	Mus musculus	M	C57BL/6
sub-ZFM+02370	sub-ZFM-02370	Mus musculus	M	C57BL/6
sub-ZFM+02372	sub-ZFM-02372	Mus musculus	F	C57BL/6
sub-ZFM+02373	sub-ZFM-02373	Mus musculus	M	C57BL/6
sub-ZFM+04308	sub-ZFM-04308	Mus musculus	F	C57BL/6
sub-ZM+1897	sub-ZM_1897	Mus musculus	F	C57BL/6
sub-ZM+1898	sub-ZM_1898	Mus musculus	F	C57BL/6
sub-ZM+2240	sub-ZM_2240	Mus musculus	M	C57BL/6
sub-ZM+2241	sub-ZM_2241	Mus musculus	F	C57BL/6
