onset	duration	nwb_table	choice	feedback_type	reward_volume	contrast_left	contrast_right	probability_left	feedback_time	response_time	stim_off_time	stim_on_time	go_cue_time	first_movement_time	peak_amplitude
5.67322150000486	0.21100000000007046	WheelMovementIntervals													0.13698874242092327
20.179221500009703	0.29600000000009885	WheelMovementIntervals													0.0327301002406683
20.812221500009915	3.887000000001297	WheelMovementIntervals													0.38160894868362044
25.099221500011346	0.12200000000004252	WheelMovementIntervals													0.026212676193795414
26.98922150001198	3.437000000001145	WheelMovementIntervals													-0.2946268208842182
38.978221500015984	0.11600000000003519	WheelMovementIntervals													0.01478202520312144
52.89022150002063	0.43300000000014194	WheelMovementIntervals													0.23856965113527323
60.8882215000233	0.29600000000009885	WheelMovementIntervals													0.22611742460301276
61.74322150002358	2.57800000000087	WheelMovementIntervals													-0.0850344683695422
73.14845109007315	3.1555130821124493	trials	-1.0	1.0	1.5		1.0	0.5	74.75015757007475	74.750056714887	75.80395218007581	73.85411385007386	73.76615598007376	74.31322150002778	
74.31322150002778	2.6710000000008876	WheelMovementIntervals													1.7283253496319364
77.01236466007701	2.924979600973913	trials	1.0	1.0	1.5	0.125		0.5	78.39006021007839	78.38995411071727	79.43735547007944	77.51468109007752	77.51574765007751	77.72622150002893	
77.72622150002893	0.8640000000002885	WheelMovementIntervals													-0.3409571479308653
78.91322150002932	2.1120000000007053	WheelMovementIntervals													0.3094244524073444
80.62173702008062	4.559510819899103	trials	-1.0	-1.0	0.0	1.0		0.5	82.64163501008264	82.64074092563352	84.68119770008468	81.74785773008175	81.74899095008175	81.72822150003026	
81.72822150003026	1.9270000000006462	WheelMovementIntervals													0.788991994705377
84.95322150003133	0.4140000000001436	WheelMovementIntervals													0.25223436352227946
85.85334714008586	3.2278074157783863	trials	1.0	1.0	1.5	0.125		0.5	87.52534659008752	87.52524994528888	88.58107434008858	86.52038043008652	86.52121368008652	86.46122150003184	
86.46122150003184	3.2840000000011003	WheelMovementIntervals													-0.2821428710682432
89.78695374008979	2.3941905472903215	trials	-1.0	1.0	1.5		0.125	0.5	90.63136929009063	90.63124970136506	91.68106431009168	90.33709872009034	90.33813195009034	90.5072215000332	
90.5072215000332	2.30200000000076	WheelMovementIntervals													0.6547322071808717
92.93733867009294	5.899706126419531	trials	-1.0	1.0	1.5		0.25	0.5	97.25474022009726	97.25464168973546	98.33699865009834	97.02053031009702	97.02133023009702	97.1542215000354	
93.31122150003412	0.26400000000009527	WheelMovementIntervals													0.3093524728488388
94.03622150003437	2.281000000000759	WheelMovementIntervals													-1.4154397758350852
97.1542215000354	2.993000000001004	WheelMovementIntervals													2.421562342402303
99.55704330009956	4.173711704102644	trials	-1.0	1.0	1.5		0.25	0.5	102.15934971010216	102.15924935036763	103.23067590010324	101.83081590010183	101.83191579010183	102.02322150003704	
100.60622150003657	0.5450000000001722	WheelMovementIntervals													-0.8240253546896303
102.02322150003704	1.9680000000006572	WheelMovementIntervals													0.3278350898938629
104.3112215000378	0.5520000000001772	WheelMovementIntervals													0.6488717116280895
104.44295466010445	2.7938881456140763	trials	-1.0	1.0	1.5		1.0	0.5	105.65776650010567	105.65764863665675	106.73682525010673	105.3868602601054	105.38782683010538	105.5252215000382	
105.5252215000382	2.1180000000007055	WheelMovementIntervals													1.1488378393403273
107.94983727010795	2.620103105197799	trials	-1.0	1.0	1.5		0.25	0.5	108.99536604010899	108.99523771107314	110.06992524011007	108.53064585010853	108.53144577010853	108.4982215000392	
108.4982215000392	2.4830000000008283	WheelMovementIntervals													1.121139311472814
111.26883867011126	3.1678161399817952	trials	1.0	1.0	1.5	0.125		0.5	112.86424578011287	112.86414579098339	113.93660520011393	112.5973058101126	112.5983723701126	112.7132215000406	
111.59122150004023	0.4630000000001502	WheelMovementIntervals													0.5874159506396008
112.7132215000406	1.7330000000005867	WheelMovementIntervals													-0.5377904891749479
115.0975557601151	4.48890874984761	trials	-1.0	-1.0	0.0	0.0		0.5	117.007264770117	117.00645863047941	119.08642350011908	115.71386079011572	115.71502734011571	115.61722150004158	
115.61722150004158	0.4310000000001395	WheelMovementIntervals													0.1842397958306332
116.92122150004201	0.5350000000001813	WheelMovementIntervals													0.8933710791069611
118.33722150004249	1.2800000000004275	WheelMovementIntervals													-0.6836532014819445
120.35136366012036	2.779092427441938	trials	-1.0	1.0	1.5		0.0625	0.5	121.55914287012156	121.55905950022324	122.63043573012263	120.83044908012083	120.83151564012083	121.0752215000434	
121.0752215000434	1.9610000000006522	WheelMovementIntervals													0.6181690477189283
123.80325177012381	3.8167135187843257	trials	-1.0	1.0	1.5		0.25	0.5	126.04376103012605	126.04365853163792	127.11985341012712	125.46991842012547	125.47075167012547	125.66922150004493	
124.15622150004442	0.797000000000267	WheelMovementIntervals													0.6376177648257766
125.66922150004493	1.8700000000006298	WheelMovementIntervals													1.1235115185515667
128.33276544012833	2.536882548442321	trials	-1.0	1.0	1.5		0.0625	0.5	129.3015685501293	129.30145801267392	130.36959507013037	128.8136506801288	128.81468391012882	129.1182215000461	
129.1182215000461	1.7820000000005791	WheelMovementIntervals													1.0525472875965942
131.58154053013158	3.5321081371644993	trials	-1.0	-1.0	0.0	0.0625		0.5	132.54761058013256	132.54664220703035	134.6135706301346	132.13025232013214	132.13128555013213	132.04422150004706	
132.04422150004706	0.8680000000003076	WheelMovementIntervals													0.5799072307838067
134.59122150004794	1.6060000000005346	WheelMovementIntervals													0.7683970893799721
135.84044793013584	3.92310121966284	trials	-1.0	-1.0	0.0	0.0		0.5	137.1988454101372	137.19794766011796	139.26347226013925	136.8028516801368	136.8038515801368	137.07022150004875	
137.07022150004875	0.5560000000001821	WheelMovementIntervals													0.7069083756816301
139.13722150004944	1.6520000000005552	WheelMovementIntervals													0.8738581875331928
140.51594700014053	2.897407943846531	trials	1.0	1.0	1.5	1.0		0.5	141.84484743014184	141.84474972609408	142.91327391014292	141.5027149801415	141.5037482101415	141.7372215000503	
141.7372215000503	2.6540000000008774	WheelMovementIntervals													0.7390061188731245
144.1085543701441	3.854811922786695	trials	-1.0	-1.0	0.0	0.0		0.5	145.3943591101454	145.39345767765215	147.46325220014745	144.8027182801448	144.8036848501448	145.24222150005147	
145.24222150005147	0.8410000000002924	WheelMovementIntervals													0.6384837029096317
146.783221500052	0.5780000000001735	WheelMovementIntervals													0.5538389148994067
148.45122150005255	0.4970000000001562	WheelMovementIntervals													0.24282816884384673
148.65766608014866	4.388894764744066	trials	1.0	-1.0	0.0		0.0625	0.5	150.48025047015048	150.4792630771784	152.54647716015253	149.55254325014954	149.55360981014957	150.3672215000532	
150.3672215000532	0.9160000000003095	WheelMovementIntervals													-0.664885941826757
153.32022150005417	0.3790000000001328	WheelMovementIntervals													-0.12998560716371088
153.74095770015373	2.4449906224781444	trials	1.0	1.0	1.5	0.25		0.5	154.6047713101546	154.60465368102996	155.68592985015567	154.26917154015428	154.2701714401543	154.46522150005455	
154.46522150005455	1.3870000000004836	WheelMovementIntervals													-0.6855768881399484
156.80122150005533	0.2980000000001155	WheelMovementIntervals													-0.02995578761950135
156.88704306015688	2.5760027907579968	trials	1.0	1.0	1.5	0.0625		0.5	157.8932424301579	157.89314336900043	158.96296878015897	157.57974045015757	157.58080701015757	157.67922150005563	
157.67922150005563	3.03300000000101	WheelMovementIntervals													-2.9372422453353675
160.20984408016022	5.525910433927265	trials	1.0	1.0	1.5	0.25		0.5	164.16784824016418	164.16775012091895	165.23564145016525	163.7187598201637	163.71962640016372	163.96922150005773	
160.9232215000567	2.0980000000006953	WheelMovementIntervals													-0.8416204547399158
163.96922150005773	1.8050000000006037	WheelMovementIntervals													-1.2602070913175911
166.31922150005852	5.221000000001737	WheelMovementIntervals													-1.4864576730656802
166.44735360016645	7.671393946807456	trials	1.0	1.0	1.5	0.125		0.5	172.54734354017256	172.54724719668647	173.61866973017362	172.04612700017205	172.04712690017206	172.34422150006054	
172.34422150006054	1.508000000000493	WheelMovementIntervals													-0.7679282961232046
174.86824476017486	2.3111989961697645	trials	1.0	1.0	1.5	0.0625		0.5	175.60947063017562	175.6093437969797	176.67936363017668	175.3960586401754	175.3970585401754	175.34022150006155	
175.34022150006155	0.2670000000000812	WheelMovementIntervals													-0.3247173646770509
175.94822150006175	1.9560000000006426	WheelMovementIntervals													0.30021496960219185
177.90744081017792	2.4447159892253296	trials	-1.0	1.0	1.5		0.0625	0.5	178.7756539801788	178.77554577767356	179.85204633017986	178.4187230101784	178.41965625017843	178.5442215000626	
178.5442215000626	1.6570000000005507	WheelMovementIntervals													0.7967389878776832
181.06005885018106	4.54190689839578	trials	-1.0	1.0	1.5		0.125	0.5	184.03546128018402	184.0353620590123	185.10192129018512	183.26263857018327	183.26353848018326	183.57122150006427	
181.5002215000636	1.275000000000432	WheelMovementIntervals													-0.6852095893634562
183.57122150006427	2.385000000000815	WheelMovementIntervals													1.015600651007361
186.33596454018632	2.5326094867974405	trials	1.0	1.0	1.5	0.25		0.5	187.29526860018728	187.29516737574284	188.36849460018837	186.92920521018692	186.93013845018694	187.13822150006547	
187.13822150006547	1.928000000000651	WheelMovementIntervals													-0.49063879508705277
189.57327411018957	2.572479980232373	trials	-1.0	1.0	1.5		0.125	0.5	190.57157427019058	190.5714655659272	191.64573351019166	190.04579352019005	190.04672676019004	190.02922150006643	
190.02922150006643	2.4110000000008256	WheelMovementIntervals													0.9136392585337196
192.85374603019287	2.3420237558854353	trials	-1.0	1.0	1.5		1.0	0.5	193.63886751019365	193.63875332240272	194.6957618101947	193.3849595701934	193.38599280019338	193.4962215000676	
193.4962215000676	4.252000000001402	WheelMovementIntervals													3.694445451407125
195.9034743601959	4.308898613833776	trials	-1.0	1.0	1.5		0.0625	0.5	198.65046630019864	198.6503722015346	199.7122601101997	198.23500785019823	198.23590776019824	198.51022150006926	
198.51022150006926	2.432000000000812	WheelMovementIntervals													1.2414720135738122
200.94257040020094	2.5090853064905048	trials	1.0	1.0	1.5	0.25		0.5	201.87874344020187	201.87866417215832	202.95156948020295	201.51821283020152	201.51917940020152	201.71122150007034	
201.71122150007034	2.2970000000007644	WheelMovementIntervals													-0.6042966929997107
204.15604902020416	3.112317162458197	trials	1.0	1.0	1.5	0.25		0.5	205.6958616902057	205.6957565212876	206.76832110020678	204.87881007020488	204.87977664020488	204.81122150007138	
204.81122150007138	2.0840000000006853	WheelMovementIntervals													-0.46633995412330087
207.96986760020798	3.7815886304911714	trials	-1.0	-1.0	0.0	0.125		0.5	209.1890123402092	209.1881632930195	211.25143941021125	208.47875004020847	208.4796832802085	208.67722150007268	
208.67722150007268	1.7320000000005678	WheelMovementIntervals													0.3715781184424234
211.57922150007363	0.4170000000001437	WheelMovementIntervals													0.6530683799837025
